date,net_price,gross_price
1997-01-01,6088,4866
1997-02-01,6396,5102
1997-03-01,6939,5522
1997-04-01,6995,5536
1997-05-01,7447,5969
1997-06-01,7767,6208
1997-07-01,7661,6074
1997-08-01,7744,6170
1997-09-01,7672,6109
1997-10-01,7761,6159
1997-11-01,7299,5821
1997-12-01,6875,5466
1998-01-01,6214,4989
1998-02-01,5806,4641
1998-03-01,5894,4762
1998-04-01,5678,4567
1998-05-01,5240,4188
1998-06-01,4565,3675
1998-07-01,4370,3485
1998-08-01,4199,3354
1998-09-01,4014,3238
1998-10-01,3941,3169
1998-11-01,4186,3355
1998-12-01,4246,3399
1999-01-01,4327,3461
1999-02-01,4286,3430
1999-03-01,4464,3583
1999-04-01,4414,3522
1999-05-01,4509,3597
1999-06-01,4410,3538
1999-07-01,4445,3559
1999-08-01,4324,3453
1999-09-01,4211,3376
1999-10-01,4013,3201
1999-11-01,4007,3215
1999-12-01,4144,3331
2000-01-01,4083,3270
2000-02-01,4028,3223
2000-03-01,4005,3202
2000-04-01,4023,3232
2000-05-01,3831,3077
2000-06-01,3662,2928
2000-07-01,3621,2881
2000-08-01,3643,2892
2000-09-01,3692,2934
2000-10-01,3618,2889
2000-11-01,3477,2784
2000-12-01,3372,2686
2001-01-01,3398,2711
2001-02-01,3446,2752
2001-03-01,3461,2770
2001-04-01,3335,2651
2001-05-01,3382,2698
2001-06-01,3420,2730
2001-07-01,3306,2631
2001-08-01,3335,2663
2001-09-01,3174,2532
2001-10-01,3089,2452
2001-11-01,3067,2447
2001-12-01,3093,2461
2002-01-01,3042,2410
2002-02-01,3038,2419
2002-03-01,3058,2436
2002-04-01,3100,2472
2002-05-01,3128,2497
2002-06-01,3119,2489
2002-07-01,3018,2407
2002-08-01,2962,2364
2002-09-01,2889,2318
2002-10-01,2873,2296
2002-11-01,2783,2236
2002-12-01,2744,2187
2003-01-01,2688,2167
2003-02-01,2547,2042
2003-03-01,2419,1934
2003-04-01,2309,1854
2003-05-01,2368,1894
2003-06-01,2420,1941
2003-07-01,2393,1950
2003-08-01,2428,1972
2003-09-01,2567,2083
2003-10-01,2688,2173
2003-11-01,2793,2242
2003-12-01,2927,2337
2004-01-01,3161,2512
2004-02-01,3365,2670
2004-03-01,3499,2774
2004-04-01,3494,2764
2004-05-01,3497,2770
2004-06-01,3515,2792
2004-07-01,3458,2734
2004-08-01,3475,2744
2004-09-01,3681,2908
2004-10-01,3750,2969
2004-11-01,3791,3015
2004-12-01,3766,3005
2005-01-01,3793,3020
2005-02-01,3772,3003
2005-03-01,3952,3134
2005-04-01,4066,3198
2005-05-01,4183,3308
2005-06-01,4142,3269
2005-07-01,4145,3285
2005-08-01,4104,3258
2005-09-01,4158,3301
2005-10-01,3953,3209
2005-11-01,3828,3089
2005-12-01,3859,3078
2006-01-01,4053,3213
2006-02-01,4062,3241
2006-03-01,4093,3263
2006-04-01,4138,3293
2006-05-01,4091,3259
2006-06-01,3971,3157
2006-07-01,3988,3174
2006-08-01,4040,3223
2006-09-01,3927,3155
2006-10-01,3999,3217
2006-11-01,3897,3139
2006-12-01,3973,3185
2007-01-01,3973,3194
2007-02-01,4013,3221
2007-03-01,4046,3245
2007-04-01,4082,3278
2007-05-01,4120,3310
2007-06-01,4135,3320
2007-07-01,4187,3363
2007-08-01,4235,3399
2007-09-01,4269,3428
2007-10-01,4389,3526
2007-11-01,4622,3711
2007-12-01,4819,3866
2008-01-01,5049,4049
2008-02-01,5212,4183
2008-03-01,5288,4251
2008-04-01,5180,4166
2008-05-01,5232,4207
2008-06-01,5236,4213
2008-07-01,5099,4066
2008-08-01,4954,3980
2008-09-01,4809,3858
2008-10-01,4326,3471
2008-11-01,4166,3341
2008-12-01,4241,3397
2009-01-01,4279,3435
2009-02-01,4344,3487
2009-03-01,4464,3584
2009-04-01,4636,3720
2009-05-01,4804,3855
2009-06-01,4971,3994
2009-07-01,5068,4069
2009-08-01,5216,4187
2009-09-01,5318,4269
2009-10-01,5367,4313
2009-11-01,5345,4290
2009-12-01,5382,4321
2010-01-01,5571,4470
2010-02-01,5636,4532
2010-03-01,5753,4647
2010-04-01,5832,4689
2010-05-01,5803,4663
2010-06-01,5907,4745
2010-07-01,6075,4878
2010-08-01,6168,4958
2010-09-01,6246,5013
2010-10-01,6439,5164
2010-11-01,6550,5255
2010-12-01,6577,5276
2011-01-01,6802,5472
2011-02-01,7068,5673
2011-03-01,7212,5800
2011-04-01,7324,5879
2011-05-01,7437,5972
2011-06-01,7333,5895
2011-07-01,7303,5853
2011-08-01,7323,5851
2011-09-01,7261,5839
2011-10-01,7201,5789
2011-11-01,7181,5759
2011-12-01,7056,5665
2012-01-01,7013,5606
2012-02-01,7278,5857
2012-03-01,7607,6095
2012-04-01,7749,6205
2012-05-01,7824,6270
2012-06-01,7829,6278
2012-07-01,7951,6372
2012-08-01,8144,6527
2012-09-01,8321,6673
2012-10-01,8539,6837
2012-11-01,8647,6928
2012-12-01,8668,6946
2013-01-01,8980,7178
2013-02-01,9191,7367
2013-03-01,9162,7339
2013-04-01,8840,7053
2013-05-01,8999,7202
2013-06-01,9133,7300
2013-07-01,9027,7212
2013-08-01,9099,7270
2013-09-01,9033,7227
2013-10-01,8936,7135
2013-11-01,8895,7094
2013-12-01,8901,7094
2014-01-01,8868,7076
2014-02-01,8857,7059
2014-03-01,8878,7077
2014-04-01,8879,7093
2014-05-01,8924,7119
2014-06-01,9014,7185
2014-07-01,9246,7379
2014-08-01,9414,7521
2014-09-01,9550,7622
2014-10-01,9671,7701
2014-11-01,9781,7804
2014-12-01,9984,7959
2015-01-01,10191,8142
2015-02-01,10442,8306
2015-03-01,10497,8340
2015-04-01,10525,8412
2015-05-01,10615,8428
2015-06-01,10771,8566
2015-07-01,10855,8643
2015-08-01,10970,8740
2015-09-01,10830,8619
2015-10-01,10627,8452
2015-11-01,10465,8331
2015-12-01,10196,8124
2016-01-01,10030,7982
2016-02-01,9850,7859
2016-03-01,9720,7665
2016-04-01,9732,7711
2016-05-01,9754,7693
2016-06-01,9884,7821
2016-07-01,9925,7850
2016-08-01,10141,8074
2016-09-01,10409,8282
2016-10-01,10620,8476
2016-11-01,10740,8539
2016-12-01,10780,8586
2017-01-01,10770,8572
2017-02-01,10866,8658
2017-03-01,11155,8874
2017-04-01,11402,9121
2017-05-01,11524,9199
2017-06-01,11667,9282
2017-07-01,11768,9365
2017-08-01,11787,9391
2017-09-01,11772,9375
2017-10-01,11887,9467
2017-11-01,12005,9562
